,ProductName,Platform,SellerName,SuperCategory,SubCategory,Last 30Day GMV,rankOverall,rankPP,rankDP,rankBijExp,rankSeller,variantid,App_Image,App_Deeplink_x,Price_Range,IsBijnisExpress,Avg_Price,VariantSize,Color,App_Deeplink_y
0,1 OAK 566,Distribution,HARI OM ENTERPRISES,Footwear,HAWAII SLIPPERS,55385.0,53.0,,26.0,,13.0,2445236,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-e436d343-d4b4-4a9a-8d94-da2ed1ff244c.jpeg,https://bijnis.app.link/IDLcgRj2NJb,26 - 29,No,27.78," 10c, 12c, 13c, 1Y, 2Y, 3Y, 6c, 7c, 8c, 9c,11c,5c",Multicolor,https://bijnis.app.link/DQtQ9vtzDKb
1,SUPREMLITE 145,Distribution,SPARSH ENTERPRISES,Footwear,HAWAII SLIPPERS,7130.0,335.0,,271.0,,58.0,1793518,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-f4560f76-b68e-4b99-84e6-b641d7f70f73.jpeg,https://bijnis.app.link/X1TdU3N2NJb,122 - 135,No,128.85," 10, 7, 8, 9,10,6,7,9",Brown,https://bijnis.app.link/027hGAtzDKb
2,SUPREMLITE 150,Distribution,SPARSH ENTERPRISES,Footwear,HAWAII SLIPPERS,5240.0,399.0,,332.0,,70.0,1799011,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-7cbc6e46-f125-4659-a310-faabd11601e5.jpeg,https://bijnis.app.link/KE8FfAq9NJb,96 - 106,No,100.8," 10, 7, 8, 9,6,7,9","Navy Blue,Red,Beige",https://bijnis.app.link/8eJcIDtzDKb
3,SUPREMLITE 153,Distribution,SPARSH ENTERPRISES,Footwear,HAWAII SLIPPERS,1019.0,788.0,,718.0,,136.0,1806733,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-6f54bceb-9642-4415-82f6-31ae89e04bbc.jpeg,https://bijnis.app.link/FiQYoJL2NJb,87 - 96,No,91.23," 4, 5, 6, 7, 8,3,4,5,7",Pink,https://bijnis.app.link/CUfAvxtzDKb
4,SUPREMLITE 154,Distribution,SPARSH ENTERPRISES,Footwear,HAWAII SLIPPERS,4184.0,468.0,,400.0,,84.0,1806736,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_1-13e0c288-f12d-48f6-83d9-1294cc922b4a.jpeg,https://bijnis.app.link/b6maDQtXNJb,87 - 96,No,91.23," 4, 5, 6, 7, 8,3,4,5,6,7","Pink,Turqouise",https://bijnis.app.link/bKJcpytzDKb
