,ProductName,Platform,SellerName,SuperCategory,SubCategory,Last 30Day GMV,rankOverall,rankPP,rankDP,rankBijExp,rankSeller,variantid,App_Image,App_Deeplink,Price_Range,IsBijnisExpress,Avg_Price,VariantSize,Color
4163,Cotton Lycra Slim Fit 1063,BijnisExpress,A R Textile,Apparels,Bijnis Express - 3 Hours Delivery,5198.0,156.0,79.0,,5.0,3.0,2555244,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490487986/03-05-2024/1714731792185c359105b63f94d0db32e0be2e4f7aafd.jpg,https://bijnis.app.link/qdTSM8D5NJb,494 - 546,Yes,519.75,"30,32,34,36","Black,Blue"
4169,Cotton Lycra Slim Fit 1091,BijnisExpress,Atishay International,Apparels,Bijnis Express - 3 Hours Delivery,10436.0,63.0,42.0,,2.0,2.0,2569040,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490487986/28-05-2024/17168753689391716875368735.jpg,https://bijnis.app.link/Hp49vbJ8nKb,496 - 548,Yes,522.06,,"Blue,Dark grey,Grey"
9862,Poly Cotton Regular Fit 1081,BijnisExpress,SHINEWAY KNITS,Apparels,Bijnis Express - 3 Hours Delivery,9420.0,471.0,130.0,,3.0,5.0,2554111,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490487986/02-05-2024/1714630052512606612e3c1734877acdc4bfd067ad429.jpg,https://bijnis.app.link/SX7gMup6NJb,190 - 210,Yes,200.11,"L,M,XL,XXL","Multicolor-12,"
9863,Poly Cotton Regular Fit 1210,BijnisExpress,Jainam International,Apparels,Bijnis Express - 3 Hours Delivery,32432.0,115.0,41.0,,1.0,1.0,2564841,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490487986/20-05-2024/1716204148648Screenshot202405201643010101.jpg,https://bijnis.app.link/3mSv5ZoU0Jb,84 - 93,Yes,88.38,"L,M,XL,XXL","Multicolor-18,"
14169,Trousers 031,BijnisExpress,MAHESHWARI GARMENT,Apparels,Bijnis Express - 3 Hours Delivery,7797.0,54.0,7.0,,4.0,2.0,2555505,https://bijnis.s3.ap-south-1.amazonaws.com/production/uploads/1490487986/03-05-2024/171474003130939802d3426d24362866341cb0e5521a1.jpg,https://bijnis.app.link/0mBEMsg2NJb,521 - 576,Yes,548.1,"30,32,34,36,38","Khaki,Beige,Black"
