,ProductName,Platform,SellerName,SuperCategory,SubCategory,Last 30Day GMV,rankOverall,rankPP,rankDP,rankBijExp,rankSeller,variantid,App_Image,App_Deeplink,Price_Range,IsBijnisExpress,Avg_Price,VariantSize,Color
3472,COMBIT 1915,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,2841.0,527.0,,458.0,,79.0,1882614,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-1f37d076-2fa2-4ffe-9fae-1d7a23b98d21.jpeg,https://bijnis.app.link/hOHONFU8NJb,162 - 180,No,170.96," 10, 9,8",White
3473,COMBIT 1916,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,2073.0,580.0,,509.0,,92.0,1882615,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-2e805aa3-d33a-4ca9-9e14-2f621e8513b2.jpeg,https://bijnis.app.link/DWPNKFa6NJb,178 - 196,No,187.11," 12, 13,11",White
3474,COMBIT 1925,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,4757.0,426.0,,361.0,,56.0,1887353,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-3fd8943f-e751-4d94-bef8-2fdf18c569f2.jpeg,https://bijnis.app.link/KqTbE0LXNJb,261 - 288,No,274.61," 2, 3,1",Black
3475,COMBIT 1931,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,1874.0,607.0,,536.0,,97.0,1887855,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-889c311a-d129-4611-b5d6-4bde22e300a3.jpeg,https://bijnis.app.link/VNtWpIK0NJb,153 - 170,No,161.54," 2, 3,1,3",Black
3476,COMBIT 1932,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,1015.0,705.0,,633.0,,125.0,1887857,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-c88bf38a-92bb-4e06-87bd-48a5eca27508.jpeg,https://bijnis.app.link/hXpz23v7NJb,166 - 184,No,175.0," 5, 6,4",Black
3477,COMBIT 1934,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,1764.0,619.0,,548.0,,107.0,1887872,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-c87318f0-e2d8-428c-ac88-b5af9a1f0a21.jpeg,https://bijnis.app.link/T6SPxlv1NJb,145 - 160,No,152.11," 12, 13,11,13",Black
3478,COMBIT 1939,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,11545.0,252.0,,194.0,,24.0,1892198,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-ad83d595-aaaf-4eb7-b513-de410ed63718.jpeg,https://bijnis.app.link/BZlQAe2VVJb,164 - 181,No,172.3," 2, 3,1",Black
3479,COMBIT 1941,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,11020.0,260.0,,201.0,,29.0,1892203,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-05fd25e0-85ea-4e56-9d63-4a1d21e08ca3.jpeg,https://bijnis.app.link/loUhYUo0NJb,146 - 161,No,153.46," 10, 9,10,8,9",Black
3480,COMBIT 1943,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,11400.0,255.0,,197.0,,25.0,1892207,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-eeee5f64-5771-4e00-87e6-8b5d2f9cab18.jpeg,https://bijnis.app.link/w0BSmtD5NJb,136 - 150,No,142.69," 7,6,7",Black
3481,COMBIT 1945,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,14832.0,198.0,,147.0,,14.0,1892215,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-5a69ac47-69ed-4431-8fff-49eb59862b74.jpeg,https://bijnis.app.link/Mig5Xne0NJb,197 - 218,No,207.3," 2, 3,1",White
3482,COMBIT 1947,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,11052.0,258.0,,200.0,,28.0,1892229,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-3c55d346-97cb-45f6-afe2-b349b98a0f03.jpeg,https://bijnis.app.link/VZhUDCI8NJb,173 - 191,No,181.73,,White
3483,COMBIT 1948,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,13033.0,228.0,,173.0,,17.0,1892235,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-b3d9b3f5-886f-495a-b7ca-5a4ffb21019f.jpeg,https://bijnis.app.link/jyhEH8Z6NJb,188 - 208,No,197.88," 12, 13,11",White
3484,COMBIT 1949,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,4627.0,435.0,,370.0,,57.0,1892256,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-feb7c819-7cff-4939-ad28-264d6a5cf270.jpeg,https://bijnis.app.link/rSw1uVo2NJb,164 - 181,No,172.3," 7,6",White
3485,COMBIT 1950,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,902.0,715.0,,643.0,,131.0,1892258,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/uploadfile_2-b5a8dcd0-39bb-439a-bd33-fae6b72e6ebb.jpeg,https://bijnis.app.link/wEaA8nS5NJb,225 - 249,No,236.92," 8,7",White
3486,COMBIT 1953,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,2989.0,519.0,,450.0,,75.0,1892273,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-3505014d-7ea9-412c-a50c-37898340f53b.jpeg,https://bijnis.app.link/qxvgrZ07NJb,178 - 196,No,187.11," 12, 13,11",White
3487,COMBIT 1954,Distribution,K. V. FOOTWEAR,Footwear,PVC MOULDED SCHOOL SHOES,587.0,733.0,,660.0,,143.0,1892282,https://bijnis.s3.amazonaws.com/PRODUCTION/uploads/1490485863/uploadfile_1-155265b1-5fa1-43a0-a836-59c7e6847215.jpeg,https://bijnis.app.link/3iqwxui2NJb,152 - 168,No,160.19," 7,6",White
